pred_id,amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,predator_latin_name,species,pred_weight_g,pred_length_cm,year,quarter,month,ices_rect,subdiv,haul_id,smhi_serial_no,X,Y,lat,lon,fle_kg_km2,mcod_kg_km2,scod_kg_km2,date,bottom_depth,group,depth,density_saduria,oxy
2015_4_COD_13,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,Gadus morhua,Cod,234,30,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,large cod,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,33,15,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,small cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_134,0,0,0,0,0,0,0,0,0.05999999999999999,0.19999999999999996,0,0,0,0,0,Gadus morhua,Cod,35,15,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,small cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,724,43,2015,4,11,40G4,25,2015_4_4,3,468.56173965882385,6170.949656128442,55.68333333333333,14.5,9603.516483516483,8277.802197802197,4138.9010989010985,2015-11-20,478,large cod,49.5,2043.716064453125,5.43889570296936
2015_4_COD_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,1128,56,2015,4,11,40G4,25,2015_4_6,5,460.19525094928827,6172.872959745471,55.7,14.366666666666667,2226.651480637813,11866.742596810933,2063.78132118451,2015-11-20,379,NA,36.54999923706055,4007.517578125,6.252708707070922
2015_4_COD_139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,909,48,2015,4,11,40G4,25,2015_4_6,5,460.19525094928827,6172.872959745471,55.7,14.366666666666667,2226.651480637813,11866.742596810933,2063.78132118451,2015-11-20,379,large cod,36.54999923706055,4007.517578125,6.252708707070922
2015_4_COD_140,0,0,0,0,0,0,0.02,0,0.26,0,0.96,0,0,0,0,Gadus morhua,Cod,1016,46,2015,4,11,40G4,25,2015_4_6,5,460.19525094928827,6172.872959745471,55.7,14.366666666666667,2226.651480637813,11866.742596810933,2063.78132118451,2015-11-20,379,large cod,36.54999923706055,4007.517578125,6.252708707070922
2015_4_COD_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,Gadus morhua,Cod,1034,49,2015,4,11,40G4,25,2015_4_6,5,460.19525094928827,6172.872959745471,55.7,14.366666666666667,2226.651480637813,11866.742596810933,2063.78132118451,2015-11-20,379,large cod,36.54999923706055,4007.517578125,6.252708707070922
2015_4_COD_142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,811,46,2015,4,11,40G4,25,2015_4_6,5,460.19525094928827,6172.872959745471,55.7,14.366666666666667,2226.651480637813,11866.742596810933,2063.78132118451,2015-11-20,379,large cod,36.54999923706055,4007.517578125,6.252708707070922
2015_4_COD_143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,830,49,2015,4,11,40G4,25,2015_4_6,5,460.19525094928827,6172.872959745471,55.7,14.366666666666667,2226.651480637813,11866.742596810933,2063.78132118451,2015-11-20,379,large cod,36.54999923706055,4007.517578125,6.252708707070922
