"","FR_tot","FR_sad","FR_spr","saduria_entomon_tot","tot_prey_biom","common_tot","unique_pred_id","year","quarter","pred_weight_g","pred_cm","predator_spec","predcod_density","predfle_density","predcod_density_sc","predfle_density_sc","depth","X","Y","lat","long","ices_rect","SubDiv","cruise"
"1956",0.0308088138276818,0.00250692703522892,0,0.38,4.67,0.46,"2020_1_60_815_FLE",2020,1,156.25,25,"FLE",2139.92456329947,140.375604670494,2.48521523180015,0.765525975328774,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1957",0.0176822287240809,0,0,0,1.39,0.1,"2020_1_60_823_FLE",2020,1,80,20,"FLE",2139.92456329947,140.375604670494,2.48521523180015,0.765525975328774,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1958",0.0160689421593347,0,0,0,4.27,0,"2020_1_60_826_FLE",2020,1,270,30,"FLE",2139.92456329947,140.375604670494,2.48521523180015,0.765525975328774,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1959",0.0192240475358266,0,0,0,1.1,0.06,"2020_1_60_833_FLE",2020,1,58.32,18,"FLE",2139.92456329947,140.375604670494,2.48521523180015,0.765525975328774,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1960",0.00799803125384521,0,0,0,2.6,2.43,"2020_1_60_834_FLE",2020,1,327.68,32,"FLE",1975.50460991934,187.165553120615,2.24120445151151,1.38678897569292,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1961",0.0184067592033796,0,0,0,0.61,0.42,"2020_1_60_840_FLE",2020,1,33.75,15,"FLE",1975.50460991934,187.165553120615,2.24120445151151,1.38678897569292,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1962",0.0619149214089781,0.00235119954717638,0,0.54,14.22,0.57,"2020_1_60_848_FLE",2020,1,243.89,29,"FLE",1975.50460991934,187.165553120615,2.24120445151151,1.38678897569292,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1963",0.0233474833232262,0,0,0,0.77,0.25,"2020_1_60_850_FLE",2020,1,33.75,15,"FLE",1975.50460991934,187.165553120615,2.24120445151151,1.38678897569292,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1964",0.0142444260941371,0.000206440957886045,0,0.01,0.69,0.06,"2020_1_60_853_FLE",2020,1,49.13,17,"FLE",1975.50460991934,187.165553120615,2.24120445151151,1.38678897569292,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1965",0.0545829042224511,0,0,0,2.12,0.16,"2020_1_60_861_FLE",2020,1,40.96,16,"FLE",1975.50460991934,187.165553120615,2.24120445151151,1.38678897569292,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1966",0.00641319285387082,0,0,0,0.14,0.01,"2020_1_60_874_FLE",2020,1,21.97,13,"FLE",1881.71294354628,73.8828938557109,2.10201101892762,-0.117344435763359,55,761.922619290949,6422.42129564234,57.8666666666667,19.4166666666667,"44G9","28","BITS"
"1967",0.0749611197511664,0,0,0,9.64,0,"2020_1_63_898_FLE",2020,1,138.24,24,"FLE",1881.71294354628,73.8828938557109,2.10201101892762,-0.117344435763359,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1968",0.0782554689117383,0,0,0,11.34,0,"2020_1_63_900_FLE",2020,1,156.25,25,"FLE",1881.71294354628,73.8828938557109,2.10201101892762,-0.117344435763359,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1969",0.0472542606300568,0,0,0,5.49,0,"2020_1_63_902_FLE",2020,1,121.67,23,"FLE",1881.71294354628,73.8828938557109,2.10201101892762,-0.117344435763359,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1970",0.0600238505366371,0,0,0,4.53,0,"2020_1_63_904_FLE",2020,1,80,20,"FLE",1791.872381036,74.3107808704949,1.96868130249702,-0.111663079415959,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1971",0.00377073906485671,0,0,0,0.4,0,"2020_1_63_905_FLE",2020,1,106.48,22,"FLE",2812.92626892347,115.279074685647,3.48399711896708,0.432301724531928,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1972",0.0446018443844455,0,0,0,12.72,0.61,"2020_1_63_906_FLE",2020,1,297.91,31,"FLE",2812.92626892347,115.279074685647,3.48399711896708,0.432301724531928,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1973",0.0126758117728772,0,0,0,0.73,0,"2020_1_63_908_FLE",2020,1,58.32,18,"FLE",2812.92626892347,115.279074685647,3.48399711896708,0.432301724531928,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1974",0.0161299647337689,0,0,0,2.79,0,"2020_1_63_910_FLE",2020,1,175.76,26,"FLE",2812.92626892347,115.279074685647,3.48399711896708,0.432301724531928,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1975",0.0202468102907342,0,0,0,4.84,0,"2020_1_63_913_FLE",2020,1,243.89,29,"FLE",838.192151142904,365.306453472787,0.553352735263684,3.75209079598326,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1976",0.0278544542032622,0,0,0,1.11,0,"2020_1_63_923_FLE",2020,1,40.96,16,"FLE",838.192151142904,365.306453472787,0.553352735263684,3.75209079598326,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1977",0.0120835047305636,0,0,0,2.35,0,"2020_1_63_935_FLE",2020,1,196.83,27,"FLE",838.192151142904,365.306453472787,0.553352735263684,3.75209079598326,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1978",0.00689958896065766,0,0,0,0.47,0,"2020_1_63_941_FLE",2020,1,68.59,19,"FLE",838.192151142904,365.306453472787,0.553352735263684,3.75209079598326,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
"1979",0.0536622828069502,0,0,0,11.18,0.25,"2020_1_63_948_FLE",2020,1,219.52,28,"FLE",838.192151142904,365.306453472787,0.553352735263684,3.75209079598326,42,614.326503299332,6357.94367882063,57.35,16.9,"43G6","27","BITS"
